theme,amenity,name,lat,lon
education,music_school,Beat'Abox Group,1.3009534,103.8355687
education,music_school,O School,1.3008362,103.8357407
education,kindergarten,St. Francis Of Assisi Kindergarten,1.3515511,103.7164186
education,kindergarten,Sparkle Tots,1.3127285,103.8706617
education,library,Geylang East Public Library,1.3174105,103.8858725
education,school,Singapore Power Training Institute,1.3421391,103.8690631
education,kindergarten,Cherie Hearts,1.3341310,103.8893958
education,kindergarten,Chatsworth Preschool,1.4027956,103.8712660
education,music_school,The Music Platform,1.2908107,103.8572061
education,music_school,SOMA School of Music and the Arts,1.2914127,103.8569843
education,kindergarten,Little Footprints Preschool,1.3270098,103.8455359
education,kindergarten,Raffles House,1.3192877,103.8320478
education,kindergarten,Little Paddington Preschool,1.2975842,103.8152438
education,school,I Can Read,1.2650858,103.8204705
education,music_school,Cristofori Music School,1.2642476,103.8201144
education,school,Heguru Method Learning Centre,1.2649537,103.8204957
education,kindergarten,PCF Sparkletots Preschool,1.3324727,103.8460668
education,school,Focus Music,1.2803337,103.8414605
education,music_school,Drumstruck Studios,1.2913092,103.8496044
education,music_school,Cristofori,1.2910768,103.8500286
education,kindergarten,PCF Sparkletots Preschool @ Jalan Kayu,1.3794324,103.8780454
education,prep_school,Mavis Tutorial Centre,1.3915914,103.8948950
education,language_school,Beijing Language School,1.4059677,103.9021496
education,prep_school,Sciencewerkz,1.4060992,103.9019246
education,music_school,Edvox Music School,1.4062570,103.9017928
education,prep_school,Mindstretcher,1.4060381,103.9020570
education,school,Heguru Education Centre,1.4062209,103.9018483
education,prep_school,Kumon,1.3927847,103.8942795
education,music_school,Cristofori,1.3928661,103.8937999
education,language_school,Beijing Language School,1.3927492,103.8941737
education,school,3dsense Media School,1.2892670,103.8471267
education,music_school,Music Lifestyle,1.2891677,103.8470814
education,prep_school,Learning Habitat,1.3744808,103.8866167
education,school,Future Ready Academy,1.2988328,103.7877822
education,kindergarten,MindChamps Preschool,1.2994733,103.7875726
education,school,LTA Rail Academy,1.3252259,103.9191042
education,music_school,Sonare Music School,1.3916874,103.8949888
education,prep_school,Stalford,1.3917220,103.8949211
education,kindergarten,MindChamps Preschool,1.2909800,103.8590000
education,kindergarten,Pegasus,1.3125741,103.8473825
education,kindergarten,Sparkletots,1.3145923,103.8698791
education,kindergarten,PCF Sparkletots,1.4434403,103.8026207
education,kindergarten,My First Skool,1.3419192,103.7003991
education,kindergarten,Willow Nursery,1.3404547,103.7696925
education,school,Quayside Isle Preparatory School,1.2470486,103.8423226
education,school,Invictus International School,1.2466333,103.8421784
